Switch_ID,Family,memberX,Parent_MOF_name,Fun,topo_family_4h_stable,dFE_4h_stable_topo,dFE_4h_member_topo,dd_FE,dU_4h_stable_topo,dU_4h_member_topo,dd_U,dS_4h_stable_topo,dS_4h_member_topo,dd_S,topo_family_fun_of_4h_member,topo_family_fun_stable,switch_treshold,d_VF,real_switch
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,4H,gwg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gwg,gwg,0.0,0.0,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2Br,gwg,-0.8,-0.8,0.0,1.41,1.41,0.0,2.21,2.21,0.0,gwg,tfk,0.0,-0.065025,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2CN,gwg,0.09,0.09,0.0,0.62,0.62,0.0,0.5,0.5,0.0,gwg,gwg,0.0,-0.06655,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2F,gwg,-0.73,-0.73,0.0,0.4,0.4,0.0,1.13,1.13,0.0,gwg,gwg,0.0,-0.020175,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,4CN,gwg,1.29,1.29,0.0,2.27,2.27,0.0,0.92,0.92,0.0,gwg,sur,0.0,-0.133575,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2NH2,gwg,-0.26,-0.26,0.0,-0.22,-0.22,0.0,-0.02,-0.02,0.0,gwg,gwg,0.0,-0.040275,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2CF3,gwg,-1.21,-1.21,0.0,1.1,1.1,0.0,2.23,2.23,0.0,gwg,gwg,0.0,-0.11365,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2CH3,gwg,-0.39,-0.39,0.0,-0.43,-0.43,0.0,-0.11,-0.11,0.0,gwg,gwg,0.0,-0.05885,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2NO2,gwg,0.62,0.62,0.0,2.45,2.45,0.0,1.77,1.77,0.0,gwg,gwg,0.0,-0.081025,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2OH,gwg,-0.35,-0.35,0.0,0.44,0.44,0.0,0.76,0.76,0.0,gwg,gwg,0.0,-0.032125,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,4F,gwg,-1.42,-1.42,0.0,0.87,0.87,0.0,2.3,2.3,0.0,gwg,tfk,0.0,-0.038675,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2SH,gwg,-0.98,-0.98,0.0,0.49,0.49,0.0,1.44,1.44,0.0,gwg,gwg,0.0,-0.067225,NO
1_1_1,1,1,SR_gwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,4Br,gwg,-0.41,-0.41,0.0,4.27,4.27,0.0,4.69,4.69,0.0,gwg,gwg,0.0,-0.13485,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,4H,gwg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stu,gwg,1.058266149,0.040975,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2Br,gwg,-0.8,-0.97,-0.17,1.41,1.37,-0.04,2.21,2.34,0.14,stu,tfk,1.058266149,-0.012725,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2CN,gwg,0.09,-0.15,-0.24,0.62,0.54,-0.08,0.5,0.66,0.16,stu,gwg,1.058266149,-0.012875,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2F,gwg,-0.73,-0.7,0.03,0.4,0.52,0.12,1.13,1.22,0.09,stu,gwg,1.058266149,0.0228,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,4CN,gwg,1.29,0.57,-0.72,2.27,1.7,-0.57,0.92,1.08,0.16,stu,sur,1.058266149,-0.065,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2NH2,gwg,-0.26,-0.39,-0.13,-0.22,-0.2,0.03,-0.02,0.14,0.16,stu,gwg,1.058266149,0.004925,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2CF3,gwg,-1.21,-1.65,-0.44,1.1,0.91,-0.18,2.23,2.49,0.26,stu,gwg,1.058266149,-0.049425,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2CH3,gwg,-0.39,-0.33,0.06,-0.43,-0.19,0.23,-0.11,0.07,0.17,stu,gwg,1.058266149,-0.00615,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2NO2,gwg,0.62,0.1,-0.52,2.45,2.26,-0.19,1.77,2.1,0.33,stu,gwg,1.058266149,-0.031125,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2OH,gwg,-0.35,-0.59,-0.24,0.44,0.38,-0.06,0.76,0.94,0.19,stu,gwg,1.058266149,0.01045,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,4F,gwg,-1.42,-1.6,-0.17,0.87,1.03,0.16,2.3,2.63,0.33,stu,tfk,1.058266149,0.006325,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,2SH,gwg,-0.98,-0.57,0.41,0.49,1.18,0.69,1.44,1.72,0.28,stu,gwg,1.058266149,-0.01455,NO
1_1_2,1,2,SR_stu_v1-3c_B_Ch_v2-4c_Cu_1_Ch_2-1B_4H_Chnl,4Br,gwg,-0.41,-0.8,-0.39,4.27,3.71,-0.56,4.69,4.51,-0.18,stu,gwg,1.058266149,-0.060775,NO
1_1_3,1,3,SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,4H,gwg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sur,gwg,1.100500198,0.038575,NO
1_1_3,1,3,SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2Br,gwg,-0.8,-0.83,-0.03,1.41,1.49,0.07,2.21,2.31,0.11,sur,tfk,1.100500198,-0.017275,NO
1_1_3,1,3,SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2CN,gwg,0.09,0.08,-0.01,0.62,0.66,0.04,0.5,0.55,0.05,sur,gwg,1.100500198,-0.017675,NO
1_1_3,1,3,SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,2F,gwg,-0.73,-0.79,-0.06,0.4,0.5,0.1,1.13,1.29,0.16,sur,gwg,1.100500198,0.0191,NO
1_1_3,1,3,SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_2-1B_4H_Chnl,4CN,gwg,1.29,0.17,-1.12,2.27,0.96,-1.31,0.92,0.74,-0.18,sur,sur,1.100500198,-0.06335,YES
