MOF_name,fun,delta_FE,delta_dLM_FE,delta_vdw,delta_ebond,delta_eang,delta_edihe,delta_eimp,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_tru_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-4c_Cu_1_Ch_1-ntn_edge_3-1B_4F_Chnl,4F,-1.5586471999999991,-1.5586471940000002,0.1290000000000004,0.0059999999999997,-0.0270000000000001,0.815,-0.001,0.8566,0.3211678832116788,1461.0,5598.53,3.831975537,0.015786538,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_hbk_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_1-1B_2Br_Chnl_1-ntn_edge_2-1B_2Br_Chnl_1-ntn_edge,2Br,-0.9006611800000002,-0.9006611869999999,-0.5149999999999997,-0.0390000000000001,0.1640000000000001,1.705,0.013,0.846675,0.3055555555555556,1524.09,5247.95,3.443336455,0.01661905,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_1-ntn_edge_1-1B_2CH3_Chnl_1-ntn_edge_3-1B_2CH3_Chnl_1-ntn_edge,2CH3,-0.5219193900000008,-0.628371018,-1.019,-0.4259999999999997,0.2139999999999999,0.7789999999999999,-0.04,0.79035,0.268041237113402,1903.22,4362.42,2.292121748,0.019133234,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2NH2_Chnl,2NH2,-0.3383123900000022,-0.41382725,-0.1840000000000001,-0.1699999999999999,0.199,-0.133,-0.0259999999999999,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_3-1B_2NH2_Chnl_1-ntn_edge_1-1B_2NH2_Chnl_2-ntn_edge,2NH2,-0.4370370000000001,-0.5139600769999999,-0.6069999999999998,-0.2989999999999999,0.1029999999999999,0.3580000000000001,-0.027,0.732575,0.2608695652173913,2299.07,4109.72,1.787562498,0.024049353,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_geo_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_1-2B_2NO2_Chnl_1-ntn_edge_1-2B_2NO2_Chnl,2NO2,-0.7045601599999998,-0.741769465,-0.0289999999999999,-0.0369999999999999,0.2089999999999998,1.4259999999999993,0.002,0.8131,0.3435114503816794,1554.18,5010.32,3.223768198,0.020007281,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_fmj_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-4c_Cu_1_Ch_1-1B_4Br_Chnl_1-ntn_edge_1-1B_4Br_Chnl_1-ntn_edge,4Br,0.0560663099999985,0.0560663109999999,0.3340000000000001,0.2829999999999999,-0.0430000000000001,1.6500000000000004,0.017,0.71885,0.2372881355932203,2158.08,3470.0,1.607910922,0.029186881,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
SR_tru_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-4c_Cu_1_Ch_2-ntn_edge_2-1B_2CF3_Chnl,2CF3,-1.5619142299999993,-1.6313879079999998,-0.5219999999999998,-0.2099999999999999,0.4320000000000001,0.9450000000000004,-0.0199999999999999,0.828675,0.3076923076923077,1677.79,5218.02,3.110061984,0.018697918,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_lwg_v1-4c_Cu_1_Ch_v2-3c_B_Ch_v3-3c_B_Ch_1-ntn_edge_2-2B_2CH3_Chnl,2CH3,-0.8857103299999984,-0.92883701,-1.257,-0.2360000000000002,0.3940000000000001,0.4010000000000002,-0.033,0.9311,0.3540372670807453,783.116,6680.18,8.5302397,0.007884573,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_tse_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_v4-3c_B_Ch_2-ntn_edge_1-1B_4CN_Chnl,4CN,0.467819519999999,0.4272665290000002,0.2710000000000008,0.1169999999999999,0.1019999999999998,0.508,-0.0139999999999999,0.745075,0.28125,2377.24,4427.6,1.862499139,0.025243299,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_1-1B_2CH3_Chnl_1-ntn_edge_5-1B_2CH3_Chnl,2CH3,-1.6400086300000003,-1.735827442,-0.9320000000000004,-0.4159999999999999,0.254,-0.3229999999999995,-0.118,0.723475,0.2992125984251969,2046.46,4107.51,2.007129323,0.023878445,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_sur_v1-4c_Cu_1_Ch_v2-3c_B_Ch_1-ntn_edge_1-1B_2CH3_Chnl,2CH3,-0.0819408800000012,-0.153680008,-0.3409999999999997,-0.2110000000000003,0.179,0.2730000000000001,-0.0229999999999999,0.69925,0.238095238095238,2662.34,3745.85,1.406978331,0.033956568,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_mfj_v1-3c_B_Ch_v2-3c_B_Ch_v3-4c_Cu_1_Ch_v4-4c_Cu_1_Ch_4-1B_4H_Chnl_1-ntn_edge,4H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8285,0.3009708737864077,1747.26,5122.83,2.931915068,0.019258848,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_yac_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-4c_Cu_1_Ch_v4-3c_B_Ch_v5-3c_B_Ch_v6-3c_B_Ch_v7-3c_B_Ch_v8-3c_B_Ch_2-1B_2CF3_Chnl_1-ntn_edge_4-1B_2CF3_Chnl,2CF3,-1.7040506099999997,-1.805902457,-0.5089999999999999,-0.2509999999999999,0.4489999999999998,0.7439999999999998,-0.063,0.79075,0.2857142857142857,1869.95,4509.81,2.411724841,0.019079786,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
