MOF_name,fun,delta_FE,delta_dLM_FE,delta_SE,parent_VF,parent_Hs_frac,parent_SA_vol,parent_SA_gra,parent_inv_dens,parent_dens_atoms_UC,total_fun_mass,fun_rotations,fun_Ks_CX,fun_equiDist_CX,fun_Ks_extra,fun_equiDist_extra,fun_height,fun_EleDiff_CX,fun_EleDiff_Xres,fun_eps_eff,fun_sig_eff,hs_per_fun
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_4H_Chnl_1-ntn_edge,4H,0.0,0.0,0.0,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2Br_Chnl_1-ntn_edge,2Br,-0.6263687300000029,-0.6263687330000001,0.7122175210893129,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2CF3_Chnl_1-ntn_edge,2CF3,-1.30722557,-1.411217173,0.1026250276413769,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2CH3_Chnl_1-ntn_edge,2CH3,-0.4618324700000009,-0.565824074,-0.5672093190547116,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2CN_Chnl_1-ntn_edge,2CN,-0.2807339300000002,-0.3200196509999999,0.158609028983987,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2F_Chnl_1-ntn_edge,2F,-0.4510546099999999,-0.4510546140000002,0.3897006310642457,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2NH2_Chnl_1-ntn_edge,2NH2,-0.4743702499999997,-0.5480309660000002,0.020880756264912,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2NO2_Chnl_1-ntn_edge,2NO2,-0.19432325,-0.2679839630000002,0.972440706230456,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2OH_Chnl_1-ntn_edge,2OH,-0.4704411000000021,-0.5097268129999999,0.0817587231649401,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,36.02968,1.0,2395.17435544,1.36631,2342.81619784,0.99025,1.6062,0.89,-1.24,0.435136,3.066,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_2SH_Chnl_1-ntn_edge,2SH,-0.4783268900000017,-0.5176126070000002,0.7791317493761802,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_4Br_Chnl_1-ntn_edge,4Br,-0.6170311300000009,-0.6170311320000001,1.8259161644024324,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_4CN_Chnl_1-ntn_edge,4CN,0.0652328699999991,-0.0084278499999999,0.7553268011345171,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-1B_4F_Chnl_1-ntn_edge,4F,-0.8650522100000018,-0.8650522090000001,0.6409771510807172,0.812275,0.2372881355932203,1690.76,3975.41,2.351259334,0.015807724,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_4H_Chnl,4H,0.0,0.0,0.0,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2Br_Chnl,2Br,-1.0536964300000022,-1.053696426,1.2175313865358115,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,161.82368,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2CF3_Chnl,2CF3,-1.474320060000002,-1.5785305790000002,0.8214962662949725,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,140.02768,3.0,1547.84544496,1.486,1747.93181432,1.38152,1.9944,0.0,4.29,1.06692,11.061,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2CH3_Chnl,2CH3,-0.3069838100000019,-0.411194328,-0.3682030704041512,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,32.08568,3.0,1385.19432776,1.1094,1385.19432776,1.1094,1.8861,0.0,-1.05,0.991608,9.378,8.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2CN_Chnl,2CN,-0.2762043400000031,-0.317557711,0.5764646993460447,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,54.05168,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2F_Chnl,2F,-0.8361746600000011,-0.836174659,0.3563291690043773,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,40.01168,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2NH2_Chnl,2NH2,-0.3383123900000022,-0.41382725,0.1558729556784372,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,34.05968,2.0,2344.16520312,1.42319,2208.74933184,1.04442,1.7385,0.49,-1.68,0.656888,6.182,6.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2NO2_Chnl,2NO2,-0.0430125300000021,-0.118527392,1.9515973618785916,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,94.02568,2.0,2349.09512664,1.4222,4052.91783224,1.26107,2.0518,0.49,0.8,0.790776,7.496,2.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2OH_Chnl,2OH,-0.5693491800000032,-0.6107025580000001,0.4118716871011481,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,36.02968,1.0,2395.17435544,1.36631,2342.81619784,0.99025,1.6062,0.89,-1.24,0.435136,3.066,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_2SH_Chnl,2SH,-0.5974152000000004,-0.6387685790000001,1.4131680086249725,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,68.16168,1.0,1260.62572752,1.78592,959.35253984,1.40733,1.9477,0.03,-0.38,1.330512,3.271,4.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_4Br_Chnl,4Br,-0.5773761000000022,-0.577376101,3.4425884045011133,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,319.616,0.0,966.49010912,1.90584,0.0,0.0,1.93397,0.41,0.0,1.050184,3.73197,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_4CN_Chnl,4CN,0.4529996699999969,0.3774848039999999,1.6097409685971469,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,104.072,0.0,1718.81176008,1.435,4361.24315192,1.15715,2.6025,0.0,0.49,0.728016,3.836,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_1-ntn_edge_1-1B_4F_Chnl,4F,-1.530226830000002,-1.53022683,0.8193229879885235,0.824075,0.2784810126582278,1815.12,4755.34,2.6198448,0.015806473,75.992,0.0,1854.3626072,1.35457,0.0,0.0,1.3548,1.43,0.0,0.2092,2.997,0.0
SR_dnr_v1-4c_Cu_1_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2-1B_4H_Chnl,4H,0.0,0.0,0.0,0.89355,0.303030303030303,1146.99,5404.8,4.712180043,0.009897316,4.03136,0.0,1495.53054992,1.08142,0.0,0.0,1.08233,-0.35,0.0,0.184096,2.57113,4.0
